Anno bersaglio,Indicatore,Azienda,Azienda di riferimento,Valore,Valutazione,Numeratore,Denominatore,Categoria
2022,D09Z,AV Sud Est,Toscana,18,non valutato,18,0,Area Vasta
2022,D09Z,AV Nord Ovest,Toscana,15.88,non valutato,15.88,0,Area Vasta
2022,D09Z,AV Centro,Toscana,14.62,non valutato,14.62,0,Area Vasta
2022,D09Z,AUSL Nord Ovest,AV Nord Ovest,15.88,non valutato,15.88,0,Azienda Territoriale
2022,D09Z,AUSL Centro,AV Centro,14.62,non valutato,14.62,0,Azienda Territoriale
2022,D09Z,AUSL Sud Est,AV Sud Est,18,non valutato,18,0,Azienda Territoriale
2022,D09Z,Toscana,Toscana,15.65,non valutato,15.65,0,Regione
2022,D09Z,Alta Val d'Elsa,AUSL Sud Est,19,non valutato,19,0,Zona Distretto
2022,D09Z,Colline dell'Albegna,AUSL Sud Est,31,non valutato,31,0,Zona Distretto
2022,D09Z,Pistoiese,AUSL Centro,18.33,non valutato,18.33,0,Zona Distretto
2022,D09Z,Senese,AUSL Sud Est,28,non valutato,28,0,Zona Distretto
2022,D09Z,Amiata Grossetana - Colline Metallifere - Grossetana,AUSL Sud Est,25,non valutato,25,0,Zona Distretto
2022,D09Z,Val di Nievole,AUSL Centro,19.3,non valutato,19.3,0,Zona Distretto
2022,D09Z,Pratese,AUSL Centro,18.05,non valutato,18.05,0,Zona Distretto
2022,D09Z,Amiata senese e Val d'Orcia- Valdichiana senese,AUSL Sud Est,26,non valutato,26,0,Zona Distretto
2022,D09Z,Firenze,AUSL Centro,13.32,non valutato,13.32,0,Zona Distretto
2022,D09Z,Pisana,AUSL Nord Ovest,19.95,non valutato,19.95,0,Zona Distretto
2022,D09Z,Casentino,AUSL Sud Est,24.85,non valutato,24.85,0,Zona Distretto
2022,D09Z,Fiorentina Nord-Ovest,AUSL Centro,17.43,non valutato,17.43,0,Zona Distretto
2022,D09Z,Alta Val di Cecina - Val d'Era,AUSL Nord Ovest,20.93,non valutato,20.93,0,Zona Distretto
2022,D09Z,Valtiberina,AUSL Sud Est,22.81,non valutato,22.81,0,Zona Distretto
2022,D09Z,Fiorentina Sud-Est,AUSL Centro,18.63,non valutato,18.63,0,Zona Distretto
2022,D09Z,Lunigiana,AUSL Nord Ovest,22.37,non valutato,22.37,0,Zona Distretto
2022,D09Z,Livornese,AUSL Nord Ovest,14.73,non valutato,14.73,0,Zona Distretto
2022,D09Z,Val di Chiana Aretina,AUSL Sud Est,20,non valutato,20,0,Zona Distretto
2022,D09Z,Mugello,AUSL Centro,17.65,non valutato,17.65,0,Zona Distretto
2022,D09Z,Apuane,AUSL Nord Ovest,15.45,non valutato,15.45,0,Zona Distretto
2022,D09Z,Elba,AUSL Nord Ovest,27.13,non valutato,27.13,0,Zona Distretto
2022,D09Z,Aretina,AUSL Sud Est,18,non valutato,18,0,Zona Distretto
2022,D09Z,Empolese -Valdarno Inferiore,AUSL Centro,18.08,non valutato,18.08,0,Zona Distretto
2022,D09Z,Valle del Serchio,AUSL Nord Ovest,23.76,non valutato,23.76,0,Zona Distretto
2022,D09Z,Bassa Val di Cecina - Val di Cornia,AUSL Nord Ovest,21.6,non valutato,21.6,0,Zona Distretto
2022,D09Z,Valdarno,AUSL Sud Est,21,non valutato,21,0,Zona Distretto
2022,D09Z,Versilia,AUSL Nord Ovest,14.77,non valutato,14.77,0,Zona Distretto
2022,D09Z,Piana di Lucca,AUSL Nord Ovest,18.45,non valutato,18.45,0,Zona Distretto
