"Anno bersaglio","Indicatore","Azienda","Azienda di riferimento","Valore","Valutazione","Numeratore","Denominatore","Categoria"
"2019","C16.11","AV Nord Ovest","Toscana","16.25","3.44","0","0","Area Vasta"
"2019","C16.11","AV Centro","Toscana","13.57","4.07","0","0","Area Vasta"
"2019","C16.11","AV Sud Est","Toscana","18.00","3.00","0","0","Area Vasta"
"2019","C16.11","AUSL Nord Ovest","AV Nord Ovest","16.25","3.44","0","0","Azienda Territoriale"
"2019","C16.11","AUSL Centro","AV Centro","13.57","4.07","0","0","Azienda Territoriale"
"2019","C16.11","AUSL Sud Est","AV Sud Est","18.00","3.00","0","0","Azienda Territoriale"
"2022","C16.11","Toscana","Toscana","17.98","3.00","17.98","1","Regione"
"2021","C16.11","Toscana","Toscana","17.83","3.04","17.83","1","Regione"
"2020","C16.11","Toscana","Toscana","17.50","3.13","17.5","1","Regione"
"2019","C16.11","Toscana","Toscana","15.00","3.75","0","0","Regione"
"2022","C16.11","Pratese","AUSL Centro","18.55","2.86","18.55","1","Zona Distretto"
"2022","C16.11","Amiata senese e Val d'Orcia- Valdichiana senese","AUSL Sud Est","27.00","0.93","27","1","Zona Distretto"
"2022","C16.11","Firenze","AUSL Centro","15.03","3.74","15.03","1","Zona Distretto"
"2022","C16.11","Pisana","AUSL Nord Ovest","23.06","1.73","23.06","1","Zona Distretto"
"2022","C16.11","Casentino","AUSL Sud Est","29.00","0.79","29","1","Zona Distretto"
"2022","C16.11","Fiorentina Nord-Ovest","AUSL Centro","18.37","2.91","18.37","1","Zona Distretto"
"2022","C16.11","Alta Val di Cecina - Val d'Era","AUSL Nord Ovest","22.37","1.91","22.37","1","Zona Distretto"
"2022","C16.11","Valtiberina","AUSL Sud Est","23.00","1.75","23","1","Zona Distretto"
"2022","C16.11","Fiorentina Sud-Est","AUSL Centro","21.27","2.18","21.27","1","Zona Distretto"
"2022","C16.11","Lunigiana","AUSL Nord Ovest","24.68","1.33","24.68","1","Zona Distretto"
"2022","C16.11","Livornese","AUSL Nord Ovest","16.32","3.42","16.32","1","Zona Distretto"
"2022","C16.11","Val di Chiana Aretina","AUSL Sud Est","23.00","1.75","23","1","Zona Distretto"
"2022","C16.11","Mugello","AUSL Centro","19.81","2.55","19.81","1","Zona Distretto"
"2022","C16.11","Apuane","AUSL Nord Ovest","17.50","3.13","17.5","1","Zona Distretto"
"2022","C16.11","Valle del Serchio","AUSL Nord Ovest","26.13","0.99","26.13","1","Zona Distretto"
"2022","C16.11","Elba","AUSL Nord Ovest","29.35","0.76","29.35","1","Zona Distretto"
"2022","C16.11","Aretina","AUSL Sud Est","21.25","2.19","21.25","1","Zona Distretto"
"2022","C16.11","Empolese -Valdarno Inferiore","AUSL Centro","22.85","1.79","22.85","1","Zona Distretto"
"2022","C16.11","Piana di Lucca","AUSL Nord Ovest","21.15","2.21","21.15","1","Zona Distretto"
"2022","C16.11","Bassa Val di Cecina - Val di Cornia","AUSL Nord Ovest","23.37","1.66","23.37","1","Zona Distretto"
"2022","C16.11","Valdarno","AUSL Sud Est","24.00","1.50","24","1","Zona Distretto"
